FIPS,POP_ESTIMATE_2018,R_NET_MIG_2018
0,327167434,
1000,4887871,1.9
1001,55601,0.6
1003,218022,24.8
1005,24881,-8.6
1007,22400,-6.6
1009,57840,0
1011,10138,-3.2
1013,19680,-10.1
1015,114277,-1.6
1017,33615,-1.1
1019,26032,13
1021,44153,0.4
1023,12841,-4
1025,23920,-5.6
1027,13275,-3.2
1029,14987,7.6
1031,51909,0.4
1033,54762,6
1035,12277,-8.2
1037,10715,-0.8
1039,36986,0.6
1041,13824,0.2
1043,83442,8.1
1045,48956,-8.1
1047,38310,-22
1049,71385,-0.4
1051,81887,4.8
1053,36748,-5.5
1055,102501,-1.3
1057,16433,1.2
1059,31363,-9.2
1061,26314,-0.4
1063,8233,-10.3
1065,14726,-4.1
1067,17209,6.2
1069,104722,2.5
1071,51736,-1.1
1073,659300,-2
1075,13844,0.2
1077,92387,0.5
1079,32957,-1.9
1081,163941,9.5
1083,96174,20.4
1085,9974,-11.2
1087,18439,-16.2
1089,366519,10.7
1091,19066,-13.2
1093,29763,3.8
1095,96109,2.8
1097,413757,-3.8
1099,21067,-7.4
1101,225763,-9.6
1103,119089,1.8
1105,9140,-16.9
1107,19938,-12
1109,33338,-2.9
1111,22725,4.7
1113,57781,11.3
1115,88690,7.4
1117,215707,6
1119,12691,-5.3
1121,79828,0.5
1123,40497,0.8
1125,208911,2.5
1127,63711,0.5
1129,16378,-7.8
1131,10627,-7.6
1133,23660,0.6
2000,737438,-11.3
2013,3515,3.1
2016,5723,-4.4
2020,291538,-17.8
2050,18216,-9
2060,877,11.4
2068,2059,-17
2070,5000,0.6
2090,98971,-18.5
2100,2474,-19.6
2105,2151,11.7
2110,32113,-3.5
2122,58533,-2.9
2130,13918,-2.2
2150,13345,-24.1
2158,8303,-8.3
2164,1587,-25
2170,107610,3.2
2180,10008,-5.8
2185,9872,-4.7
2188,7671,-23.7
2195,3221,-5.6
2198,6422,-13
2220,8647,-10
2230,1148,-1.7
2240,6918,-2.5
2261,9164,-13.6
2275,2503,9.6
2282,604,-11.6
2290,5327,-12.5
4000,7171646,13.7
4001,71818,0.1
4003,126770,13.3
4005,142854,7.4
4007,53889,9.1
4009,38072,9.2
4011,9483,-8.8
4012,21098,21.9
4013,4410824,13.6
4015,209550,18.6
4017,110445,8.1
4019,1039073,9.9
4021,447138,31
4023,46511,-9.5
4025,231993,22.1
4027,212128,4.8
5000,3013825,1.6
5001,17769,-8
5003,20046,-12.7
5005,41619,15.8
5007,272608,15.6
5009,37480,-0.8
5011,10897,4.8
5013,5277,9
5015,28223,8.9
5017,10438,-15.8
5019,22061,-4.6
5021,14847,-3.3
5023,24965,3.5
5025,8018,-20.1
5027,23537,-5.8
5029,20891,1.9
5031,108558,10
5033,63406,7
5035,48342,-11.3
5037,16676,-10.7
5039,7182,-22.7
5041,11512,-17
5043,18328,-3.3
5045,124806,6.4
5047,17810,-1.1
5049,12269,21.7
5051,99154,10.1
5053,18188,5.3
5055,45325,6.3
5057,21741,-10.2
5059,33701,4.1
5061,13341,-3
5063,37678,6.4
5065,13593,-0.6
5067,16811,-14
5069,68114,-17.1
5071,26742,5.4
5073,6682,-17.9
5075,16434,-5.7
5077,8985,-13.9
5079,13383,-3
5081,12326,-4.4
5083,21737,0.1
5085,73657,7.2
5087,16481,1.9
5089,16722,22.2
5091,43592,-8.9
5093,41239,-21.9
5095,6900,-17.1
5097,8924,9
5099,8326,-0.4
5101,7805,-0.1
5103,23606,-4.6
5105,10352,3.8
5107,18029,-30.3
5109,10673,-2.4
5111,23974,-5.8
5113,20049,-3.3
5115,64000,2.1
5117,8074,-17.5
5119,392680,-5.8
5121,17948,18.8
5123,25439,-19.2
5125,121421,12.3
5127,10319,-4.3
5129,7958,3.8
5131,127753,-4.1
5133,17139,-8.1
5135,17366,13
5137,12457,-1
5139,39126,-5.8
5141,16603,11
5143,236961,10.5
5145,78727,-3.8
5147,6490,-14.4
5149,21535,-2.6
6000,39557045,-1
6001,1666753,0.4
6003,1101,-20.7
6005,39383,24.6
6007,231256,8.5
6009,45602,2.6
6011,21627,-11.3
6013,1150215,1.6
6015,27828,13.3
6017,190678,10.9
6019,994400,0.3
6021,28047,-1.9
6023,136373,-1.7
6025,181827,-8.7
6027,17987,3.2
6029,896764,0.7
6031,151366,2.3
6033,64382,4.8
6035,30802,-12.5
6037,10105518,-6.3
6039,157672,3
6041,259666,-0.7
6043,17471,2.6
6045,87606,-2.5
6047,274765,4.2
6049,8777,-6.2
6051,14250,-4.8
6053,435594,-7.4
6055,139417,-7.1
6057,99696,4
6059,3185968,-3.1
6061,393149,18.5
6063,18804,7.4
6065,2450758,8.6
6067,1540975,3.9
6069,61537,14.5
6071,2171603,1.4
6073,3343364,-0.2
6075,883305,2.1
6077,752660,7.4
6079,284010,3.7
6081,769545,-3.5
6083,446527,-2.7
6085,1937570,-3.5
6087,274255,-5.8
6089,180040,3.7
6091,2987,-2.7
6093,43724,1.1
6095,446610,2.7
6097,499942,-7.4
6099,549815,1.7
6101,96807,-1.6
